ANIMALIA,NUMBER,ICUN  Classification
ENOPLA,1,Extinct (ER)
ENTOGNATHA,0,Extinct (ER)
GASTROPODA,267,Extinct (ER)
HOLOTHUROIDEA,0,Extinct (ER)
HYDROZOA,0,Extinct (ER)
INSECTA,63,Extinct (ER)
MALACOSTRACA,7,Extinct (ER)
MAMMALIA,84,Extinct (ER)
MAXILLOPODA,2,Extinct (ER)
MEROSTOMATA,0,Extinct (ER)
MYXINI,0,Extinct (ER)
ONYCHOPHORA,0,Extinct (ER)
OSTRACODA,2,Extinct (ER)
POLYCHAETA,0,Extinct (ER)
REPTILIA,30,Extinct (ER)
SARCOPTERYGII,0,Extinct (ER)
TURBELLARIA,1,Extinct (ER)
